Year,Observed,ARIMA_Forecast,Continent
1990,0.300917063492065,0.2845718253968243,South America
1991,0.3457563492063507,0.2845718253968243,South America
1992,0.2608337301587298,0.2845718253968243,South America
1993,0.3318456349206364,0.2845718253968243,South America
1994,0.4393099206349227,0.2845718253968243,South America
1995,0.4734170634920644,0.2845718253968243,South America
1996,0.2630718253968247,0.2845718253968243,South America
1997,0.6798456349206354,0.2845718253968243,South America
1998,0.7855301587301575,0.2845718253968243,South America
1999,0.1954170634920622,0.2845718253968243,South America
2000,0.1219825396825378,0.2845718253968243,South America
2001,0.4564349206349192,0.2845718253968243,South America
2002,0.5244527777777783,0.2845718253968243,South America
2003,0.5889587301587298,0.2845718253968243,South America
2004,0.6255837301587306,0.2845718253968243,South America
2005,0.6276373015873027,0.2845718253968243,South America
2006,0.6373575396825402,0.2845718253968243,South America
2007,0.2927861111111127,0.2845718253968243,South America
2008,0.4339944444444441,0.2845718253968243,South America
2009,0.6188277777777778,0.2845718253968243,South America
2010,0.6164527777777771,0.2845718253968243,South America
2011,0.4821670634920636,0.2845718253968243,South America
2012,0.6539884920634904,0.2845718253968243,South America
2013,0.193899206349208,0.2845718253968243,South America
1981,0.2642612847222239,0.1606609858562906,Oceania
1982,0.0723706597222246,0.1606609858562906,Oceania
1983,0.2961102430555549,0.1606609858562906,Oceania
1984,0.2892300347222232,0.1606609858562906,Oceania
1985,0.2515321180555538,0.1606609858562906,Oceania
1986,0.2230060763888879,0.1606609858562906,Oceania
1987,0.2664539930555598,0.1606609858562906,Oceania
1988,0.5681623263888902,0.1606609858562906,Oceania
1989,0.2474539930555579,0.1606609858562906,Oceania
1990,0.4083862847222228,0.1606609858562906,Oceania
1991,0.2813289930555562,0.1606609858562906,Oceania
1992,0.1783289930555582,0.1606609858562906,Oceania
1993,0.0771519097222217,0.1606609858562906,Oceania
1994,0.1780529513888886,0.1606609858562906,Oceania
1995,0.448063368055557,0.1606609858562906,Oceania
1996,0.4446779513888863,0.1606609858562906,Oceania
1997,0.2571310763888874,0.1606609858562906,Oceania
1998,0.7556206597222221,0.1606609858562906,Oceania
1999,0.4335894097222201,0.1606609858562906,Oceania
2000,0.4387612847222222,0.1606609858562906,Oceania
2001,0.5220529513888899,0.1606609858562906,Oceania
2002,0.6110008680555552,0.1606609858562906,Oceania
2003,0.5041623263888901,0.1606609858562906,Oceania
2004,0.5048550347222225,0.1606609858562906,Oceania
2005,0.6101154513888893,0.1606609858562906,Oceania
2006,0.4220373263888888,0.1606609858562906,Oceania
2007,0.6078602430555549,0.1606609858562906,Oceania
2008,0.4004071180555542,0.1606609858562906,Oceania
2009,0.3729539930555567,0.1606609858562906,Oceania
2010,0.6567248263888921,0.1606609858562906,Oceania
2011,0.4050321180555585,0.1606609858562906,Oceania
2012,0.4239852430555544,0.1606609858562906,Oceania
2013,0.66372482638889,0.1606609858562906,Oceania
1981,0.3254416666666666,0.0853673551042864,Antarctica
1982,0.2743166666666663,0.0853673551042864,Antarctica
1983,0.1470249999999999,0.0853673551042864,Antarctica
1984,0.0409416666666664,0.0853673551042864,Antarctica
1985,0.1786916666666662,0.0853673551042864,Antarctica
1986,0.2878583333333331,0.0853673551042864,Antarctica
1987,0.027483333333333,0.0853673551042864,Antarctica
1988,0.0706083333333331,0.0853673551042864,Antarctica
1989,0.7594416666666668,0.0853673551042864,Antarctica
1990,0.5236916666666664,0.0853673551042864,Antarctica
1991,0.4496499999999999,0.0853673551042864,Antarctica
1992,0.2266083333333328,0.0853673551042864,Antarctica
1993,0.4893999999999996,0.0853673551042864,Antarctica
1994,0.0526916666666665,0.0853673551042864,Antarctica
1995,0.2922749999999998,0.0853673551042864,Antarctica
1996,0.4876499999999997,0.0853673551042864,Antarctica
1997,0.3938166666666667,0.0853673551042864,Antarctica
1998,0.7661083333333332,0.0853673551042864,Antarctica
1999,0.6916499999999999,0.0853673551042864,Antarctica
2000,0.5201083333333332,0.0853673551042864,Antarctica
2001,0.7357333333333334,0.0853673551042864,Antarctica
2002,0.3234000000000001,0.0853673551042864,Antarctica
2003,0.66265,0.0853673551042864,Antarctica
2004,0.7520666666666667,0.0853673551042864,Antarctica
2005,0.5346083333333331,0.0853673551042864,Antarctica
2006,0.6288583333333333,0.0853673551042864,Antarctica
2007,0.091608333333333,0.0853673551042864,Antarctica
2008,0.63765,0.0853673551042864,Antarctica
2009,0.4947333333333332,0.0853673551042864,Antarctica
2010,0.9091499999999996,0.0853673551042864,Antarctica
2011,0.6916916666666666,0.0853673551042864,Antarctica
2012,0.5429416666666664,0.0853673551042864,Antarctica
2013,0.7745041666666668,0.0853673551042864,Antarctica
