Year,Observed,ARIMA_Forecast,Continent,Prophet_Forecast
1931,,,South America,-0.26195263386893813
1932,,,Africa,0.10422396819319878
1932,,,Antarctica,-0.678832231361492
1932,,,Asia,-0.28149694688640275
1932,,,Europe,-0.08281743276481279
1932,,,North America,-0.2684982308368748
1932,,,Oceania,-0.22707778347489874
1932,,,South America,-0.2550197872589215
1933,,,Africa,0.10368381534289538
1933,,,Antarctica,-0.6637508803600892
1933,,,Asia,-0.27419293405029405
1933,,,Europe,-0.0777341072419367
1933,,,North America,-0.26084742346588646
1933,,,Oceania,-0.21016735244069595
1933,,,South America,-0.2480679465486033
1934,,,Africa,0.10314513831503941
1934,,,Antarctica,-0.6487056594358306
1934,,,Asia,-0.26690887753664133
1934,,,Europe,-0.07266467058618545
1934,,,North America,-0.2532175919252361
1934,,,Oceania,-0.1933145556075322
1934,,,South America,-0.2411350999383544
1935,,,Africa,0.10260646128718345
1935,,,Antarctica,-0.6336604385115722
1935,,,Asia,-0.2596248210229887
1935,,,Europe,-0.06759523393043422
1935,,,North America,-0.2455877603845858
1935,,,Oceania,-0.1764617587743685
1935,,,South America,-0.23420225332810551
1936,,,Africa,0.10206778425843704
1936,,,Antarctica,-0.6186131228868944
1936,,,Asia,-0.2523407645112954
1936,,,Europe,-0.06252579727466935
1936,,,North America,-0.23795927939567008
1936,,,Oceania,-0.15960944033788432
1936,,,South America,-0.22726940671761506
1937,,,Africa,0.10152763140221462
1937,,,Antarctica,-0.6035245817399573
1937,,,Asia,-0.24503675168039193
1937,,,Europe,-0.057442471751354446
1937,,,North America,-0.23030989845883948
1937,,,Oceania,-0.1427109511659575
1937,,,South America,-0.2203175660068218
1938,,,Africa,0.10098895437346822
1938,,,Antarctica,-0.5884772661152794
1938,,,Asia,-0.23775269516869862
1938,,,Europe,-0.05237303509558959
1938,,,North America,-0.2226814174699237
1938,,,Oceania,-0.12585863272947317
1938,,,South America,-0.21338471939633127
1939,,,Africa,0.10045027729404128
1939,,,Antarctica,-0.5734256782098874
1939,,,Asia,-0.2304686386607745
1939,,,Europe,-0.04730359843980937
1939,,,North America,-0.2150534132034779
1939,,,Oceania,-0.12145312238980674
1939,,,South America,-0.20645187278592517
1940,,,Africa,0.09991160021461436
1940,,,Antarctica,-0.5583740903044956
1940,,,Asia,-0.2231845821528503
1940,,,Europe,-0.04223416178402916
1940,,,North America,-0.20742540893703215
1940,,,Oceania,-0.11704761205014033
1940,,,South America,-0.1995190261755191
1941,,,Africa,0.09937111740021942
1941,,,Antarctica,-0.5432736411861406
1941,,,Asia,-0.21588056932495478
1941,,,Europe,-0.037150836261687976
1941,,,North America,-0.19977856335932562
1941,,,Oceania,-0.11264155747484417
1941,,,South America,-0.19256718546510493
1942,,,Africa,0.09883211131482555
1942,,,Antarctica,-0.5282144501254862
1942,,,Asia,-0.2085965128162612
1942,,,Europe,-0.03208139960689416
1942,,,North America,-0.1921526108023232
1942,,,Oceania,-0.10824754130002696
1942,,,South America,-0.18563433885499253
1943,,,Africa,0.09829310522943169
1943,,,Antarctica,-0.5131552590648316
1943,,,Asia,-0.2013124563075676
1943,,,Europe,-0.027011962952100354
1943,,,North America,-0.1845266582453208
1943,,,Oceania,-0.10385352512520966
1943,,,South America,-0.17870149224488013
1944,,,Africa,0.09775409911948743
1944,,,Antarctica,-0.4980928582379763
1944,,,Asia,-0.19402839979730233
1944,,,Europe,-0.021942526297091508
1944,,,North America,-0.1769041984916036
1944,,,Oceania,-0.09946529727996303
1944,,,South America,-0.17176864563561478
1945,,,Africa,0.09721361628047485
1945,,,Antarctica,-0.48298919055954065
1945,,,Asia,-0.18672438696783095
1945,,,Europe,-0.01685920077453471
1945,,,North America,-0.16926085528650636
1945,,,Oceania,-0.09506504689267464
1945,,,South America,-0.1648168049260501
1946,,,Africa,0.09667433611095143
1946,,,Antarctica,-0.4679241640068533
1946,,,Asia,-0.17944033045963137
1946,,,Europe,-0.011789764120839916
1946,,,North America,-0.16163847249982632
1946,,,Oceania,-0.0906857717397218
1946,,,South America,-0.1578839583165808
1947,,,Africa,0.096135055941428
1947,,,Antarctica,-0.45285913745416606
1947,,,Asia,-0.1721562739514318
1947,,,Europe,-0.006720327467145152
1947,,,North America,-0.1540160897131463
1947,,,Oceania,-0.08630649658676895
1947,,,South America,-0.15095111170711153
1948,,,Africa,0.09559577577190458
1948,,,Antarctica,-0.43779411090147874
1948,,,Asia,-0.16487221744323224
1948,,,Europe,-0.0016508908134503606
1948,,,North America,-0.14639370692646622
1948,,,Oceania,-0.0819272214338161
1948,,,South America,-0.1440182650976422
1949,,,Africa,0.09505501812113062
1949,,,Antarctica,-0.4226857497127429
1949,,,Asia,-0.1575682046162703
1949,,,Europe,0.0034324347063612592
1949,,,North America,-0.1387521923716666
1949,,,Oceania,-0.07753653379227424
1949,,,South America,-0.1370664243879887
1950,,,Africa,0.09451573795027682
1950,,,Antarctica,-0.4076186681993864
1950,,,Asia,-0.1502841481085077
1950,,,Europe,0.008501871358632363
1950,,,North America,-0.13113155627193482
1950,,,Oceania,-0.07315784256505369
1950,,,South America,-0.1301335777786348
1951,,,Africa,0.09397645777817774
1951,,,Antarctica,-0.3925515866819123
1951,,,Asia,-0.14300009160193503
1951,,,Europe,0.01357130763372162
1951,,,North America,-0.12351435966190202
1951,,,Oceania,-0.06877979682205482
1951,,,South America,-0.12320073116922833
1952,,,Africa,0.09343717760607864
1952,,,Antarctica,-0.3774845051644381
1952,,,Asia,-0.13571603509536218
1952,,,Europe,0.018640743908810875
1952,,,North America,-0.11589716305186916
1952,,,Oceania,-0.06440175107905591
1952,,,South America,-0.1162678845598218
